timestamp,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18
8988,11,7,0,15,12,0,30,-1
9162,7,-3,0,13,11,-5,29,2
9337,0,-21,-1,5,-1,-16,13,4
9511,-3,-33,0,3,-2,-27,17,6
9685,-9,-44,0,-9,-4,-34,15,9
9860,-13,-53,0,-7,-4,-38,15,8
10034,-21,-54,0,-36,-11,-34,-3,10
10209,-37,-63,0,-54,-17,-39,-9,11
10384,-39,-70,-1,-59,-15,-41,-3,12
10560,-42,-71,0,-59,-14,-41,-8,11
10737,-20,-54,0,-13,4,-34,14,8
10912,-11,-44,0,-4,5,-32,13,7
11087,-10,-42,0,-2,6,-28,18,6
11262,-6,-38,0,3,15,-26,31,5
11436,-5,-39,0,4,18,-26,37,5
11610,-6,-39,0,7,4,-31,46,4
11784,-6,-41,-1,9,7,-31,50,5
11959,-5,-41,1,12,9,-30,51,5
12133,1,-36,0,16,8,-30,41,4
12307,0,-36,1,14,5,-30,35,5
12481,-2,-37,0,9,1,-30,30,5
12656,-4,-41,0,6,-1,-34,29,6
12832,-8,-47,0,3,-3,-40,28,7
13006,-9,-51,0,2,-2,-40,30,8
13182,-9,-51,-1,4,-2,-42,31,7
13358,-8,-53,0,5,1,-41,36,7
13533,-6,-52,0,9,4,-39,40,7
13708,-5,-52,0,12,4,-41,42,6
13882,-4,-50,0,13,6,-41,48,7
14057,-7,-57,0,10,7,-46,65,7
14231,-12,-60,1,9,11,-45,74,6
14406,-9,-55,0,13,18,-39,77,4
14581,-1,-36,-1,27,26,-27,81,-2
14756,13,-24,0,34,32,-17,81,-5
14931,14,-20,0,34,25,-15,79,-4
15105,18,-13,0,35,26,-7,68,-6
15280,20,-1,-1,34,313,2,64,-5
15454,22,8,0,37,312,7,65,-5
15628,25,24,0,38,29,10,57,-10
15802,30,39,-1,40,29,15,46,-12
15977,30,44,0,38,25,19,34,-12
16151,31,45,0,37,26,20,27,-12
16324,30,47,0,35,20,20,18,-11
16498,27,43,0,32,18,19,18,-9
16672,20,30,0,27,13,16,18,-5
16846,20,28,-1,30,18,14,25,-6
17020,20,25,0,31,22,12,36,-5
17194,21,22,0,35,26,11,42,-6
17368,29,35,0,41,30,14,49,-12
17542,33,47,0,43,32,15,46,-15
17716,34,41,0,45,35,11,60,-13
17890,26,12,0,41,32,-3,68,-7
18064,22,-1,-1,39,30,-5,64,-7
18239,20,-1,0,35,28,-3,53,-4
18413,16,-7,0,30,23,-4,43,-1
18587,14,-7,0,29,21,-2,40,-1
18761,15,-3,0,29,20,3,33,-1
18936,19,16,-1,28,20,14,20,-3
19110,20,27,0,28,21,16,18,-4
19284,22,29,-1,31,23,16,22,-6
19459,24,33,0,35,24,18,28,-10
19633,27,40,0,37,26,17,29,-10
19807,29,39,0,39,29,16,40,-9
19981,24,23,0,32,23,10,33,-3
20154,19,12,0,28,20,11,30,-3
20329,20,16,0,28,20,10,25,-4
20502,18,9,0,28,19,9,27,-2
20676,20,20,1,32,22,13,26,-5
20850,22,24,0,31,22,14,24,-5
21024,19,17,0,29,20,11,29,-3
21198,18,6,0,24,13,3,31,-2
21372,15,-8,0,24,17,-3,38,0
21546,18,4,1,33,26,6,49,-5
21720,26,24,0,39,30,10,52,-10
21894,31,30,0,42,30,10,54,-10
22068,30,30,0,42,32,11,63,-11
22242,33,31,0,44,32,6,65,-10
22416,30,16,0,43,31,0,72,-9
22590,27,4,0,41,31,-5,77,-8
22764,24,3,0,40,29,-7,75,-4
22938,24,3,0,39,29,-3,69,-5
23113,25,8,0,40,29,-3,69,-7
23287,26,5,0,40,30,-3,68,-7
23462,24,5,1,39,31,-2,68,-7
23636,25,6,-1,38,29,-1,57,-7
23812,18,-2,0,29,23,-4,47,-4
23986,15,-5,0,24,16,-4,35,-3
24161,16,-6,0,22,13,-2,31,-1
24335,13,-16,0,20,11,-10,30,0
24509,3,-33,1,9,4,-23,29,4
24683,0,-40,-1,7,3,-26,18,6
24858,-3,-41,0,10,6,-25,32,4
25033,4,-38,0,17,9,-25,39,4
25207,6,-37,0,22,16,-26,51,1
25381,9,-32,0,27,21,-25,62,1
25555,9,-36,-1,24,15,-26,53,0
25730,11,-28,0,30,23,-20,64,0
25904,13,-27,0,31,24,-24,72,-2
26079,16,-24,-1,39,32,-25,87,-3
26254,18,-25,0,42,38,-28,91,-5
26428,20,-26,1,43,32,-26,92,-6
26602,19,-24,0,41,30,-27,90,-3
26777,14,-31,0,38,27,-31,88,-1
26953,12,-40,1,37,28,-36,91,-1
27128,8,-55,1,31,25,-42,86,2
27302,1,-60,0,25,18,-41,75,5
27477,1,-66,0,22,312,-36,64,7
27651,-3,-69,-1,17,311,-36,45,7
27825,-3,-66,0,16,311,-35,46,9
27999,-5,-65,0,15,312,-35,46,8
28173,-2,-59,0,17,312,-34,43,6
28347,1,-49,0,19,313,-27,49,6
28521,5,-44,0,22,312,-25,58,4
28695,7,-54,1,22,312,-29,65,4
28869,7,-56,0,23,312,-30,65,4
29043,6,-53,0,24,312,-28,66,4
29217,10,-38,0,29,313,-23,72,2
29391,12,-32,-1,30,312,-21,67,2
29566,12,-33,0,29,312,-21,65,2
29740,7,-38,0,22,312,-25,60,4
29914,8,-39,0,24,312,-27,65,4
30088,9,-39,-1,29,312,-27,76,4
30262,11,-34,1,31,312,-22,78,2
30436,17,-26,0,35,312,-16,78,-2
30610,21,-19,0,38,312,-12,81,-4
30784,20,-19,0,37,312,-12,77,-3
30958,20,-16,0,38,312,-9,72,-4
31133,20,-16,-1,37,311,-9,71,-2
31307,23,-14,-1,39,313,-4,74,-7
31481,27,-10,0,42,311,-6,73,-7
31655,24,-15,0,38,312,-6,67,-4
31829,19,-20,0,34,312,-8,60,-2
32003,21,-17,0,36,312,-5,62,-3
32178,20,-20,0,34,311,-9,62,-1
32352,17,-24,0,30,310,-9,51,1
32526,17,-17,0,29,21,-10,39,-3
32701,12,-30,0,29,21,-29,53,1
32874,3,-74,0,27,312,-54,63,11
33048,-15,-109,0,7,-3,-60,47,10
33223,-14,-115,0,15,1,-99,42,8
33397,-42,-202,0,-21,313,-198,-203,-18
33572,-79,-340,0,-73,313,-296,-1140,-47
33748,-155,-576,0,-147,-984,-697,-4674,-106
